Date,Transaction Type,Vch No,Ref No,Reference Type,Reference Date,Debtor,Reference Amount,Amount,Particulars,Vch Type,Amount Verified
20200701,Child,SSI20210696,SSI20210694,New Ref,,Sai Balaji Cycle Traders,-48720.0,NA,Sai Balaji Cycle Traders,Receipt,NO
20200701,Parent,SSI20210696,NA,NA,,Sai Balaji Cycle Traders,NA,0,Sai Balaji Cycle Traders,Receipt,NO
20200701,Child,SSI20210697,SSI20210697,New Ref,,Shah Bikes,-144491.0,NA,Shah Bikes,Receipt,NO
20200701,Parent,SSI20210697,NA,NA,,Shah Bikes,NA,0,Shah Bikes,Receipt,NO
20200701,Child,SSI20210698,SSI20210698,New Ref,,Shah Bikes,-80038.0,NA,Shah Bikes,Receipt,NO
20200701,Parent,SSI20210698,NA,NA,,Shah Bikes,NA,0,Shah Bikes,Receipt,NO
20200701,Child,SSI20210699,SSI20210699,New Ref,,Shah Bikes,-172116.0,NA,Shah Bikes,Receipt,NO
20200701,Parent,SSI20210699,NA,NA,,Shah Bikes,NA,0,Shah Bikes,Receipt,NO
20200701,Child,SSI20210704,SSI20210703,New Ref,,TAJ CYCLE COMPANY,-12975.0,NA,TAJ CYCLE COMPANY,Receipt,NO
20200701,Parent,SSI20210704,NA,NA,,TAJ CYCLE COMPANY,NA,0,TAJ CYCLE COMPANY,Receipt,NO
20200701,Child,SSI20210705,SSI20210703,Agst Ref,,TAJ CYCLE COMPANY,-18422.0,NA,TAJ CYCLE COMPANY,Receipt,NO
20200701,Parent,SSI20210705,NA,NA,,TAJ CYCLE COMPANY,NA,0,TAJ CYCLE COMPANY,Receipt,NO
20200701,Child,SSI20210706,SSI20210703,Agst Ref,,TAJ CYCLE COMPANY,-78400.0,NA,TAJ CYCLE COMPANY,Receipt,NO
20200701,Parent,SSI20210706,NA,NA,,TAJ CYCLE COMPANY,NA,0,TAJ CYCLE COMPANY,Receipt,NO
20200701,Child,SSI20210707,SSI20210703,Agst Ref,,TAJ CYCLE COMPANY,-43384.0,NA,TAJ CYCLE COMPANY,Receipt,NO
20200701,Parent,SSI20210707,NA,NA,,TAJ CYCLE COMPANY,NA,0,TAJ CYCLE COMPANY,Receipt,NO
20200701,Child,SSI20210708,SSI20210708,New Ref,,Pedallers Point - Gachibowli,-205565.0,NA,Pedallers Point - Gachibowli,Receipt,NO
20200701,Parent,SSI20210708,NA,NA,,Pedallers Point - Gachibowli,NA,0,Pedallers Point - Gachibowli,Receipt,NO
